bikes,docks,day,month,minute,status
0,20,3,1,1340,docks
3,13,1,12,760,docks
0,21,2,1,1250,docks
4,11,2,12,1400,docks
16,4,5,1,570,bikes
4,12,2,12,360,docks
5,15,4,12,180,both
4,12,1,12,970,docks
3,17,4,12,1150,docks
7,13,5,12,460,both
4,12,2,12,10,docks
1,19,4,12,1230,docks
11,4,3,12,600,bikes
10,10,4,12,1020,both
0,21,4,1,1150,docks
0,21,3,1,110,docks
4,11,2,12,960,docks
4,12,2,12,0,docks
3,18,3,1,520,docks
4,11,2,12,990,docks
18,2,5,1,580,bikes
2,16,0,12,990,docks
0,21,4,1,1380,docks
5,11,1,12,740,both
4,11,3,12,60,docks
0,21,2,1,1190,docks
14,3,3,12,950,bikes
6,10,1,12,1040,both
6,10,1,12,1160,both
1,20,3,1,320,docks
3,13,1,12,770,docks
1,14,2,12,670,docks
0,21,3,1,80,docks
0,16,1,12,80,docks
16,3,4,1,680,bikes
7,10,3,12,1180,both
7,13,3,1,500,both
0,21,2,1,1380,docks
18,4,2,1,1020,bikes
17,3,5,1,620,bikes
9,8,3,12,1160,both
10,10,4,12,590,both
16,5,3,1,780,both
5,15,4,12,310,both
4,12,1,12,960,docks
0,21,5,1,280,docks
1,15,0,12,1260,docks
1,19,4,12,1240,docks
16,4,5,1,590,bikes
2,18,5,12,320,docks
4,12,2,12,260,docks
6,9,3,12,730,both
4,12,2,12,210,docks
19,2,4,1,720,bikes
11,9,4,12,990,both
0,21,4,1,1180,docks
3,12,2,12,1350,docks
4,17,3,1,1100,docks
0,15,2,12,1230,docks
11,8,4,1,490,both
11,4,3,12,620,bikes
0,21,2,1,1430,docks
4,12,2,12,350,docks
10,10,4,12,680,both
13,4,3,12,1010,bikes
0,21,5,1,230,docks
1,13,2,12,700,docks
5,11,2,12,540,both
0,15,2,12,1270,docks
14,6,4,12,770,both
17,3,5,1,660,bikes
7,8,3,12,460,both
3,13,1,12,800,docks
4,11,3,12,90,docks
0,21,5,1,160,docks
5,15,4,12,30,both
0,16,1,12,400,docks
0,16,1,12,440,docks
4,11,3,12,40,docks
12,6,0,12,610,both
4,11,2,12,600,docks
0,22,5,12,660,docks
3,17,4,1,360,docks
4,11,2,12,1380,docks
0,21,3,1,1150,docks
20,1,4,1,960,bikes
3,17,4,12,1190,docks
8,10,0,12,910,both
6,12,0,12,970,both
15,5,4,12,810,both
0,16,1,12,250,docks
4,12,1,12,1310,docks
7,10,3,12,1200,both
9,11,4,12,960,both
6,10,1,12,1190,both
0,18,0,12,760,docks
0,21,3,1,210,docks
0,16,0,12,1190,docks
4,11,3,12,100,docks
3,18,3,1,1090,docks
0,16,0,12,1290,docks
13,7,5,1,560,both
7,14,4,1,1120,both
0,21,4,1,1330,docks
5,15,3,12,1360,both
9,11,4,12,1010,both
3,17,4,12,1160,docks
8,7,3,12,480,both
5,15,4,12,140,both
6,14,4,12,440,both
1,13,2,12,690,docks
14,6,5,1,550,both
15,6,3,1,840,both
12,8,4,12,670,both
0,21,5,1,290,docks
0,21,2,1,1400,docks
5,11,2,12,490,both
2,13,2,12,820,docks
0,21,3,1,60,docks
0,20,4,1,200,docks
6,10,1,12,1120,both
4,12,1,12,1360,docks
1,19,5,12,120,docks
